カテゴリ	ファイル	日本語文言	想定翻訳キー	優先度
admin-manual	views/help/admin_manual.php:581	<h4>サーバー・ネットワーク</h4>	admin_manual.admin_manual.l581	P1
admin-manual	views/help/admin_manual.php:583	<li><strong>HTTPS の導入</strong>：SSL/TLS 証明書を導入し、通信を暗号化してください。Let's Encrypt などの無料 SSL もご利用いただけます。</li>	admin_manual.admin_manual.l583	P1
admin-manual	views/help/admin_manual.php:584	<li><strong>ファイアウォールの設定</strong>：不要なポートへのアクセスを制限してください。</li>	admin_manual.admin_manual.l584	P1
admin-manual	views/help/admin_manual.php:585	<li><strong>OS・ミドルウェアのアップデート</strong>：PHP、MySQL、Web サーバーは常に最新の安定版をご利用ください。</li>	admin_manual.admin_manual.l585	P1
admin-manual	views/help/admin_manual.php:588	<h4>アプリケーション</h4>	admin_manual.admin_manual.l588	P1
admin-manual	views/help/admin_manual.php:590	<li><strong>インストーラーの無効化</strong>：インストール完了後、<code>public/install.php</code> を削除するか、<code>install.lock</code> を作成してください。</li>	admin_manual.admin_manual.l590	P1
admin-manual	views/help/admin_manual.php:591	<li><strong>デバッグモードの無効化</strong>：本番環境では <code>display_errors</code> を <code>Off</code> に設定してください。</li>	admin_manual.admin_manual.l591	P1
admin-manual	views/help/admin_manual.php:592	<li><strong>config ディレクトリのアクセス制限</strong>：Web からの直接アクセスができないようにしてください（<code>.htaccess</code> で制限）。</li>	admin_manual.admin_manual.l592	P1
admin-manual	views/help/admin_manual.php:595	<h4>アカウント管理</h4>	admin_manual.admin_manual.l595	P1
admin-manual	views/help/admin_manual.php:597	<li><strong>強固なパスワードポリシー</strong>：パスワードは 8 文字以上、英大文字・小文字・数字・記号を含むものを推奨してください。</li>	admin_manual.admin_manual.l597	P1
admin-manual	views/help/admin_manual.php:598	<li><strong>管理者アカウントの最小化</strong>：管理者権限は必要最小限のユーザーにのみ付与してください。</li>	admin_manual.admin_manual.l598	P1
admin-manual	views/help/admin_manual.php:599	<li><strong>退職者のアカウント無効化</strong>：退職されたユーザーのアカウントは速やかに無効化してください。</li>	admin_manual.admin_manual.l599	P1
admin-manual	views/help/admin_manual.php:600	<li><strong>定期的なパスワード変更</strong>：ユーザーに定期的なパスワード変更を促してください。</li>	admin_manual.admin_manual.l600	P1
admin-manual	views/help/admin_manual.php:603	<h4>データ保護</h4>	admin_manual.admin_manual.l603	P1
admin-manual	views/help/admin_manual.php:605	<li><strong>定期バックアップ</strong>：前述のバックアップ手順に従い、定期的にデータをバックアップしてください。</li>	admin_manual.admin_manual.l605	P1
admin-manual	views/help/admin_manual.php:606	<li><strong>バックアップの保管</strong>：バックアップデータは本番サーバーとは異なる場所に保管してください。</li>	admin_manual.admin_manual.l606	P1
admin-manual	views/help/admin_manual.php:607	<li><strong>アクセスログの監視</strong>：不正なアクセスがないか、定期的にログを確認してください。</li>	admin_manual.admin_manual.l607	P1
admin-manual	views/help/admin_manual.php:611	<strong><i class="fas fa-exclamation-triangle me-1"></i>重要：</strong>	admin_manual.admin_manual.l611	P1
admin-manual	views/help/admin_manual.php:612	本番環境へのデプロイ時には、必ず以下を確認してください。	admin_manual.admin_manual.l612	P1
admin-manual	views/help/admin_manual.php:614	<li><code>display_errors = Off</code> に設定されていること</li>	admin_manual.admin_manual.l614	P1
admin-manual	views/help/admin_manual.php:615	<li><code>public/install.php</code> が削除されている、または <code>install.lock</code> が作成されていること</li>	admin_manual.admin_manual.l615	P1
admin-manual	views/help/admin_manual.php:616	<li>HTTPS が有効であること</li>	admin_manual.admin_manual.l616	P1
admin-manual	views/help/admin_manual.php:617	<li><code>config/database.php</code> が Web から直接アクセスできないこと</li>	admin_manual.admin_manual.l617	P1
admin-manual	views/help/admin_manual.php:629	<h2>11. 日報機能の管理運用</h2>	admin_manual.admin_manual.l629	P1
admin-manual	views/help/admin_manual.php:632	<p>日報は単なる報告機能ではなく、案件別分析・予実管理・共有ナレッジ基盤として運用します。管理者は、入力ルールの標準化と分析マスタの整備を担当してください。</p>	admin_manual.admin_manual.l632	P1
admin-manual	views/help/admin_manual.php:634	<h4>テンプレート運用の基本</h4>	admin_manual.admin_manual.l634	P1
admin-manual	views/help/admin_manual.php:636	<li><strong>共通テンプレートを公開</strong>：部署共通の項目（成果、課題、次日予定）を必須化します。</li>	admin_manual.admin_manual.l636	P1
admin-manual	views/help/admin_manual.php:637	<li><strong>入力タイプを揃える</strong>：短文はテキスト、自由記述は複数行で統一し、分析精度を高めます。</li>	admin_manual.admin_manual.l637	P1
admin-manual	views/help/admin_manual.php:638	<li><strong>改定時は新規テンプレートで対応</strong>：既存運用に影響を与えないよう、運用開始後の大幅変更は避けてください。</li>	admin_manual.admin_manual.l638	P1
admin-manual	views/help/admin_manual.php:641	<h4>分析マスタ（案件/業種/商品/プロセス）管理</h4>	admin_manual.admin_manual.l641	P1
admin-manual	views/help/admin_manual.php:642	<p>「日報 > 分析」画面下部の管理エリアで、分析軸マスタを追加・更新します。コードと並び順を運用ルール化すると、集計の読みやすさが向上します。</p>	admin_manual.admin_manual.l642	P1
admin-manual	views/help/admin_manual.php:644	<h4>予実管理の運用手順</h4>	admin_manual.admin_manual.l644	P1
admin-manual	views/help/admin_manual.php:645	<div class="manual-step"><span class="manual-step-num">1</span><span class="manual-step-text">月初に「月目標」を登録します（目標金額/目標時間/目標数量）。</span></div>	admin_manual.admin_manual.l645	P1
admin-manual	views/help/admin_manual.php:646	<div class="manual-step"><span class="manual-step-num">2</span><span class="manual-step-text">月中は分析画面で実績推移を確認し、乖離が大きい軸を把握します。</span></div>	admin_manual.admin_manual.l646	P1
admin-manual	views/help/admin_manual.php:647	<div class="manual-step"><span class="manual-step-num">3</span><span class="manual-step-text">必要に応じて対象者・対象軸を絞り込み、改善アクションを決定します。</span></div>	admin_manual.admin_manual.l647	P1
admin-manual	views/help/admin_manual.php:648	<div class="manual-step"><span class="manual-step-num">4</span><span class="manual-step-text">月末に CSV 出力し、会議資料や外部帳票と照合します。</span></div>	admin_manual.admin_manual.l648	P1
admin-manual	views/help/admin_manual.php:650	<h4>監査・品質チェック</h4>	admin_manual.admin_manual.l650	P1
admin-manual	views/help/admin_manual.php:652	<li>必須項目未入力の投稿が発生していないか確認する</li>	admin_manual.admin_manual.l652	P1
admin-manual	views/help/admin_manual.php:653	<li>分析明細に「未指定」項目が多すぎないか確認する</li>	admin_manual.admin_manual.l653	P1
admin-manual	views/help/admin_manual.php:654	<li>添付ファイルの機密情報取り扱いルールを周知する</li>	admin_manual.admin_manual.l654	P1
admin-manual	views/help/admin_manual.php:665	<h2>12. WEBデータベース運用設計</h2>	admin_manual.admin_manual.l665	P1
admin-manual	views/help/admin_manual.php:668	<p>WEBデータベースは、ノーコード業務アプリ基盤として運用できます。管理者は「項目設計」「参照設計」「表示設計」を段階的に行うことで、現場ユーザーの入力負荷を減らせます。</p>	admin_manual.admin_manual.l668	P1
admin-manual	views/help/admin_manual.php:670	<h4>推奨構築フロー</h4>	admin_manual.admin_manual.l670	P1
admin-manual	views/help/admin_manual.php:671	<div class="manual-step"><span class="manual-step-num">1</span><span class="manual-step-text">データベースを作成し、業務の主テーブルを定義します。</span></div>	admin_manual.admin_manual.l671	P1
admin-manual	views/help/admin_manual.php:672	<div class="manual-step"><span class="manual-step-num">2</span><span class="manual-step-text">フィールド設定で入力タイプ、必須、初期値、フィルタ可否を設定します。</span></div>	admin_manual.admin_manual.l672	P1
admin-manual	views/help/admin_manual.php:673	<div class="manual-step"><span class="manual-step-num">3</span><span class="manual-step-text">フォームビルダーで順序・セクション・表示/非表示を調整します。</span></div>	admin_manual.admin_manual.l673	P1
admin-manual	views/help/admin_manual.php:674	<div class="manual-step"><span class="manual-step-num">4</span><span class="manual-step-text">必要に応じてリレーションと子テーブル入力を有効化し、親子データを一画面で登録できるようにします。</span></div>	admin_manual.admin_manual.l674	P1
admin-manual	views/help/admin_manual.php:675	<div class="manual-step"><span class="manual-step-num">5</span><span class="manual-step-text">一覧ビュー（表示カラム・フィルタ・並び順）を保存し、共有範囲を設定します。</span></div>	admin_manual.admin_manual.l675	P1
admin-manual	views/help/admin_manual.php:676	<div class="manual-step"><span class="manual-step-num">6</span><span class="manual-step-text">集計ビュー/グラフビューを作成し、運用会議用の可視化を標準化します。</span></div>	admin_manual.admin_manual.l676	P1
admin-manual	views/help/admin_manual.php:678	<h4>共有範囲（ビュー権限）</h4>	admin_manual.admin_manual.l678	P1
admin-manual	views/help/admin_manual.php:680	<li><strong>ユーザー</strong>：個人専用の作業ビュー</li>	admin_manual.admin_manual.l680	P1
admin-manual	views/help/admin_manual.php:681	<li><strong>組織</strong>：部署共通の運用ビュー</li>	admin_manual.admin_manual.l681	P1
admin-manual	views/help/admin_manual.php:682	<li><strong>全体</strong>：全社標準ビュー</li>	admin_manual.admin_manual.l682	P1
admin-manual	views/help/admin_manual.php:685	<h4>運用で避けるべき設定</h4>	admin_manual.admin_manual.l685	P1
admin-manual	views/help/admin_manual.php:687	<li>運用開始後に既存必須項目を頻繁に変更する</li>	admin_manual.admin_manual.l687	P1
admin-manual	views/help/admin_manual.php:688	<li>リレーション先の設計が未確定のまま子テーブル運用を開始する</li>	admin_manual.admin_manual.l688	P1
